scope,model,gauge,sequence,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_existing_13,sparse_k10,none,rgbd_bonn_crowd2,0.17667127590190324,0.43190350183989024,0.8100846438040945,0.03784019263594297,0,0,3
L256_existing_13,sparse_k10,none,rgbd_bonn_person_tracking2,0.11216650104255418,0.4352250148209107,0.856303360497156,0.02430158734865563,0,0,2
L256_existing_13,sparse_k10,none,rgbd_bonn_static_close_far,0.33744747259672153,1.2228427108459432,0.32097374739541074,0.017606285091163076,0,0,6
L256_existing_13,sparse_k10,none,rgbd_dataset_freiburg3_walking_static,0.1759179999189855,0.8642312843750739,0.8337156136062875,0.04141109202512917,0,0,2
L256_existing_13,sparse_k10,median,rgbd_bonn_crowd2,0.1816655923555831,0.43434346101848054,0.8060662113254382,0.03872841531628746,0,0,3
L256_existing_13,sparse_k10,median,rgbd_bonn_person_tracking2,0.1125718069758013,0.41167489099592214,0.8820683336953291,0.025288744033983165,0,0,2
L256_existing_13,sparse_k10,median,rgbd_bonn_static_close_far,0.22335789305845521,0.5618959809533001,0.7531660911804281,0.020078983648777953,0,0,6
L256_existing_13,sparse_k10,median,rgbd_dataset_freiburg3_walking_static,0.17003265730290623,0.8955761607915884,0.8267663173110947,0.04367290698948749,0,0,2
L256_existing_13,sparse_k10,scaleshift,rgbd_bonn_crowd2,0.15493609686792237,0.45773023065611274,0.7998404967752161,0.042004419856157174,0,0,3
L256_existing_13,sparse_k10,scaleshift,rgbd_bonn_person_tracking2,0.10742118155665333,0.42881674538163406,0.8915519848432075,0.023173137670146754,0,0,2
L256_existing_13,sparse_k10,scaleshift,rgbd_bonn_static_close_far,0.24296958513738728,8.49067137754114,0.6729734711236591,0.04567626040727156,3,0,6
L256_existing_13,sparse_k10,scaleshift,rgbd_dataset_freiburg3_walking_static,0.182241484185933,0.907512399907176,0.8000416956940785,0.03995711970070835,0,0,2
L256_existing_13,sparse_k60,none,rgbd_bonn_crowd2,0.2122977482775099,0.5449921092634297,0.761657752836138,0.03758153764035071,0,0,3
