scope,model,gauge,aggregation,absrel,rmse,delta1,tce,failed,catastrophic,n
matched_timing_4x256,output_hold,median,equal_sequence,0.21677608180337654,0.5900326215925722,0.7720079381827201,0.032165204157356526,0,0,4
matched_timing_4x256,output_hold,scaleshift,balanced,0.1768579425212446,0.7413527885185014,0.7611052472203825,0.03036288594061877,0,0,4
matched_timing_4x256,output_hold,scaleshift,equal_sequence,0.1905673556372016,0.6198752285334742,0.7271753176954592,0.031884484614366985,0,0,4
matched_timing_4x256,gmc_k30,none,balanced,0.18315786423087999,0.6206985872656441,0.8279147294222673,0.03111198927430541,0,0,4
matched_timing_4x256,gmc_k30,none,equal_sequence,0.2211109975768748,0.524977216369249,0.777557607081177,0.031155834002024964,0,0,4
matched_timing_4x256,gmc_k30,median,balanced,0.16824863655274747,0.6341435387090391,0.8284167988020364,0.03158257049418965,0,0,4
matched_timing_4x256,gmc_k30,median,equal_sequence,0.197499787848239,0.5271810353965867,0.787482121369689,0.030982611314403812,0,0,4
matched_timing_4x256,gmc_k30,scaleshift,balanced,0.17148727157352617,3.990954298205338,0.7726017400917626,0.04075989080648056,1,0,4
matched_timing_4x256,gmc_k30,scaleshift,equal_sequence,0.19964810506037156,4.133081451857408,0.7349651688415039,0.055748853113581645,1,0,4
matched_timing_4x256,da2_196,median,balanced,0.5340107451867286,34.990944547614205,0.5161662371390432,0.2945140715741021,3,1,4
matched_timing_4x256,da2_196,median,equal_sequence,0.7105090420545749,33.02651419731833,0.4413450009187455,0.39382794953587313,3,1,4
matched_timing_4x256,da2_196,scaleshift,balanced,0.18246756946191794,0.8516227905466366,0.7336226426750997,0.0588633114624557,0,0,4
matched_timing_4x256,da2_196,scaleshift,equal_sequence,0.20136425200745509,0.7165585474308833,0.69914695999226,0.056107751839452054,0,0,4
matched_timing_4x256,da2_256,median,balanced,0.8201183786965767,94.48994001176752,0.5719467476741036,0.5658518627038501,3,1,4
matched_timing_4x256,da2_256,median,equal_sequence,0.8991077789542146,68.46818788249315,0.485032152131288,0.5523887103567436,3,1,4
matched_timing_4x256,da2_256,scaleshift,balanced,0.17510374182218108,0.7906417551631905,0.7663020117534507,0.04672873298950839,0,0,4
matched_timing_4x256,da2_256,scaleshift,equal_sequence,0.1949005137837647,0.6594887941925686,0.7169172873533474,0.04378239695112407,0,0,4
matched_timing_4x256,da2_350,median,balanced,0.8771350545059622,93.23304637969349,0.5919418101616739,0.645069009344053,3,1,4
matched_timing_4x256,da2_350,median,equal_sequence,0.9707777397946222,67.9631649762667,0.4802421340564783,0.6146980305612908,3,1,4
matched_timing_4x256,da2_350,scaleshift,balanced,0.17575549292668757,1.0648459313519318,0.7782048048050265,0.04397719466937111,1,0,4
matched_timing_4x256,da2_350,scaleshift,equal_sequence,0.20224927250991598,0.782883670901015,0.7068313195420408,0.03964278022074462,1,0,4
matched_timing_4x256,da2_518,median,balanced,0.9366591048041367,108.25340119703077,0.5925325657512168,0.6546143593394618,4,1,4
matched_timing_4x256,da2_518,median,equal_sequence,1.0897623186331982,82.94226185489434,0.4712434443436209,0.6213600273785399,4,1,4
matched_timing_4x256,da2_518,scaleshift,balanced,0.1810842343066453,1.46463741339363,0.7798587558490111,0.04224943840287574,1,0,4
matched_timing_4x256,da2_518,scaleshift,equal_sequence,0.2071063821641494,0.9854986109792702,0.7065146009408666,0.037137278161596204,1,0,4
matched_timing_4x256,midas_192,median,balanced,0.7216938001749672,730.912409013715,0.6072384752599012,0.5406787931653341,1,1,4
matched_timing_4x256,midas_192,median,equal_sequence,0.917373209888198,584.2340234783088,0.5207659586268868,0.6649727420687738,1,1,4
matched_timing_4x256,midas_192,scaleshift,balanced,0.16517221445101465,0.8359910758379225,0.7739682160919272,0.053641807786549346,0,0,4
matched_timing_4x256,midas_192,scaleshift,equal_sequence,0.19687819679843202,0.754279236246898,0.7109767805171063,0.057614464790369364,0,0,4
matched_timing_4x256,midas_256,median,balanced,1.365422756450061,2617.9502382167084,0.5939331499914493,0.8705756484547761,3,2,4
matched_timing_4x256,midas_256,median,equal_sequence,1.3254041595777712,1758.187761333508,0.4880540032863628,0.7945357493221061,3,2,4
matched_timing_4x256,midas_256,scaleshift,balanced,0.1636699687458587,0.7637138037033862,0.7758085598044446,0.045876012726529414,0,0,4
matched_timing_4x256,midas_256,scaleshift,equal_sequence,0.20250959337832486,0.6722507092793791,0.7008853287862529,0.04825132283001558,0,0,4
matched_timing_4x256,midas_384,median,balanced,10.798435745635818,6119.94367598341,0.5356210602433178,10.48093833771204,4,4,4
matched_timing_4x256,midas_384,median,equal_sequence,15.219317418522365,6518.684641888902,0.42431401078011394,16.039588135248888,4,4,4
matched_timing_4x256,midas_384,scaleshift,balanced,0.1939648143579939,0.8573434369265811,0.7160710275547255,0.0477935783350638,0,0,4
matched_timing_4x256,midas_384,scaleshift,equal_sequence,0.24159278839197174,0.7718023186020464,0.6229812161768943,0.048138743995018156,0,0,4
